95511|2016-08-05 10:26:28|shopping|0|0|15000
95511|2016-08-09 16:23:59|withdrawal|-1000|-50|13950
95511|2016-08-09 16:24:19|shopping: watch|-1000|0|12950
95511|2016-08-09 16:36:51|shopping: watch|-1000|0|11950
95511|2016-08-09 16:37:13|withdrawal|-1000|-50|10900
95511|2016-08-09 17:08:42|deposit|1000|0|11900
95511|2016-08-09 17:10:07|shopping: watch|-1000|0|10900
95511|2016-08-09 17:10:20|deposit|1000|0|11900
95512|2016-08-09 18:12:03|shopping: iphone|-5000|0|3000
95512|2016-08-09 18:12:25|deposit|1000|0|4000
95512|2016-08-09 18:12:28|deposit|8|0|4008
